model_name,accuracy,f1_score,roc_auc,precision,recall,best_params
GradientBoosting,0.9109947643979057,0.7951807228915663,0.9746575342465753,0.868421052631579,0.7333333333333333,
XGBoost_Tuned,0.900523560209424,0.7710843373493976,0.9668949771689499,0.8421052631578947,0.7111111111111111,"{'n_estimators': 70, 'max_depth': 9, 'learning_rate': 0.20203450937816586, 'subsample': 0.7786885011684208, 'colsample_bytree': 0.9634093012182982}"
XGBoost,0.8952879581151832,0.7619047619047619,0.9699391171993912,0.8205128205128205,0.7111111111111111,
RandomForest_Tuned,0.8952879581151832,0.75,0.9586757990867579,0.8571428571428571,0.6666666666666666,"{'n_estimators': 249, 'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 1}"
RandomForest,0.8848167539267016,0.7380952380952381,0.9555555555555556,0.7948717948717948,0.6888888888888889,
KNeighbors,0.8691099476439791,0.6376811594202898,0.9168188736681887,0.9166666666666666,0.4888888888888889,
LogisticRegression,0.8324607329842932,0.5428571428571428,0.8466514459665144,0.76,0.4222222222222222,
