model_name,accuracy,f1_score,roc_auc,precision,recall,threshold
GradientBoosting_Balanced,0.9162303664921466,0.8181818181818182,0.9605783866057839,0.8372093023255814,0.8,0.4099999999999998
Stacking,0.900523560209424,0.8155339805825242,0.9688736681887368,0.7241379310344828,0.9333333333333333,0.30999999999999994
RandomForest_Balanced,0.9057591623036649,0.8125,0.9656773211567732,0.7647058823529411,0.8666666666666667,0.4199999999999998
XGBoost_Balanced,0.9109947643979057,0.8089887640449438,0.9688736681887367,0.8181818181818182,0.8,0.6399999999999997
LogisticRegression_Balanced,0.8534031413612565,0.7083333333333334,0.8889649923896499,0.6666666666666666,0.7555555555555555,0.5399999999999998
